video_id,label,speech_duration_s,video_duration_s,speech_ratio,words_per_min,transcript_words,hallucination_flag
ACvQNJwZSPg,Embodied,323.2,330.621,0.9776,6.3,34,1
AN3yxIBAxTA,Embodied,783.68,984.121,0.7963,190.9,2493,0
CAYKno16weE,Embodied,596.38,649.941,0.9176,185.0,1839,0
CvMDlG_AF3Q,Embodied,569.62,569.701,0.9999,7.1,67,1
DOWDNBu9DkU,Embodied,1159.78,1291.521,0.898,233.1,4505,0
DQOt-m7rg80,Embodied,530.2,531.861,0.9969,149.2,1318,0
DeSDjjicGWY,Embodied,915.76,954.441,0.9595,159.8,2439,0
DkbfBIMSdgo,Embodied,381.28,384.701,0.9911,158.9,1010,0
ERLMO-nay30,Embodied,299.4,344.201,0.8698,25.7,128,1
FNG9f2qJdWk,Embodied,290.06,341.461,0.8495,29.4,142,1
GbdF6th5PZk,Embodied,328.0,485.161,0.6761,38.2,209,0
Gpm-TI21x9s,Embodied,1016.72,1048.221,0.9699,183.4,3108,0
GqCn94Ksdbo,Embodied,601.46,603.481,0.9967,107.2,1075,0
HWMq1WjvgfE,Embodied,1127.42,1699.361,0.6634,141.0,2649,0
K4aI2t5T00c,Embodied,461.92,506.381,0.9122,14.4,111,1
KDwqqlqdYFQ,Embodied,505.96,581.901,0.8695,99.0,835,0
LYJDlz5w77Y,Embodied,1009.36,1022.889,0.9868,157.4,2648,0
N5DbiWFjbh8,Embodied,1008.18,1073.121,0.9395,190.7,3205,0
NQvVeLHzfSs,Embodied,128.8,132.541,0.9718,117.9,253,0
P4GsoMTv-SY,Embodied,1151.6,1216.141,0.9469,157.9,3031,0
PWyqVEkZGWk,Embodied,857.8,877.981,0.977,196.9,2815,0
PfFkm0Kgkn0,Embodied,389.6,382.361,1.0,5.4,35,1
R2UqeJbK2yc,Embodied,428.84,424.701,1.0,5.5,39,1
S0j4xOuRzD4,Embodied,634.48,649.901,0.9763,159.5,1687,0
U5cqrrhq9TA,Embodied,659.92,685.361,0.9629,154.3,1697,0
WoHjWZFTnpQ,Embodied,603.22,651.467,0.9259,252.1,2535,0
WpE4mQegNLgESP32,Embodied,911.04,,,0.0,0,0
YIAQ80evrFM,Embodied,299.8,293.261,1.0,8.4,42,1
YQ8ZhHBraZg,Embodied,178.0,192.181,0.9262,218.8,649,0
YQeOmeMGpvE,Embodied,784.28,790.261,0.9924,187.7,2453,0
ZOuZWE_tfgQ,Embodied,932.2,969.341,0.9617,105.7,1642,0
_HHxV-7alwE,Embodied,2417.72,2660.021,0.9089,190.2,7665,0
a3wDEcORRR4,Embodied,423.0,461.027,0.9175,214.5,1512,0
cggDZE7gZNw,Embodied,562.14,556.861,1.0,8.0,75,1
dKB7uHYU-ow,Embodied,285.28,284.241,1.0,8.2,39,1
dV8rpGUoxns,Embodied,1001.22,1019.921,0.9817,202.6,3381,0
fcmXG3wB_1M,Embodied,514.54,578.361,0.8897,25.0,214,1
gdJHi9I0V4w,Embodied,574.0,581.461,0.9872,11.3,108,1
h50JwrVl2nQ,Embodied,377.76,366.561,1.0,11.4,72,1
hRnofMxEf3Q,Embodied,1450.6,1489.921,0.9736,172.0,4158,0
hnPi6i8Ua1M,Embodied,312.74,365.441,0.8558,175.0,912,0
jLXW6qVdfq4,Embodied,238.58,233.181,1.0,13.3,53,1
lV6zevUF-v0,Embodied,735.34,828.761,0.8873,96.3,1180,0
lWgYgef-hQ8,Embodied,511.0,516.001,0.9903,5.6,48,1
mcAMNsmT6uE,Embodied,645.54,653.141,0.9884,58.3,627,0
muGlauyfOGsT,Embodied,524.96,506.601,1.0,9.7,85,1
nxMkX0wtLm4,Embodied,335.76,341.861,0.9822,6.1,34,1
qNLvoSQCx60,Embodied,622.06,623.661,0.9974,130.6,1354,0
r0kBl1__VEQ,Embodied,776.24,843.301,0.9205,251.1,3249,0
raTtiqWOFW8,Embodied,509.66,503.161,1.0,5.4,46,1
re-dSV_a0tM,Embodied,1395.74,1440.801,0.9687,154.8,3600,0
rw3I118gQa8,Embodied,342.31,594.481,0.5758,9.1,52,1
s0dNRe0XWJ8,Embodied,886.3,1016.741,0.8717,199.5,2947,0
sF0KOVWj9p8,Embodied,729.88,730.701,0.9989,147.0,1788,0
sHwSIcIdeDI,Embodied,221.28,503.76,0.4393,16.3,60,0
sI5Ftm1-jik,Embodied,225.48,254.541,0.8858,220.6,829,0
t4LPzGIr41c,Embodied,638.82,678.761,0.9412,230.7,2456,0
u40kX1DYKdA,Embodied,439.18,458.421,0.958,136.3,998,0
w49SSxiPK_Q,Embodied,235.34,236.161,0.9965,7.9,31,1
wmTlM5s2xTY,Embodied,846.0,891.281,0.9492,167.2,2357,0
yPwYNUDkkZs,Embodied,1110.72,1189.621,0.9337,138.6,2566,0
z58RORCUTao,Embodied,609.58,612.041,0.996,174.8,1776,0
zZE4AejgDOA,Embodied,561.02,584.561,0.9597,11.8,110,1
