Label,PctCorrMean,PctCorrSEM,EngMean,EngSEM,TopTopicPctMean,TopTopicPctSEM,TopTopicScoreMean,TopTopicScoreSEM
Conventional,0.2047,0.0199,22.7502,5.8517,0.1663,0.0170,78.9402,1.7255
VerbEmb,0.2112,0.0200,38.2157,9.8571,0.1614,0.0173,74.7745,2.7161
