predictor,visual_coef,visual_se,visual_t,visual_p,transcript_coef,transcript_se,transcript_t,transcript_p,union_coef,union_se,union_t,union_p
const,35.54864536857142,2.0841316729630233,17.056813554410258,2.524314299867021e-64,15.562537167281272,1.4621659224111134,10.643482335861465,2.587154841269415e-26,41.24596370878342,2.028560855992755,20.332623291499978,4.350062177599429e-90
ct_animation_or_graphic,3.599752039097962,2.367763573850113,1.5203173487649226,0.12846290566032692,-1.5453521811155193,1.6611537816552384,-0.9302884526293949,0.35224424964438417,1.3542036161493807,2.3046300598316694,0.5876012986866499,0.5568132292936836
ct_device_in_operation,-10.140897685119958,2.356461995433654,-4.30344206898773,1.6976793330488167e-05,1.2984886433671474,1.653224924258954,0.7854276960826643,0.4322214873013783,-9.022606954534242,2.2936298241536774,-3.933767715923156,8.419086531894682e-05
ct_diagram_or_whiteboard,3.909452163962905,1.52726637475736,2.5597709925251304,0.010488710301477295,-0.3688900724048059,1.0714854903767843,-0.3442791113065721,0.7306436435365213,2.8216865468382824,1.4865436885290835,1.8981524516311432,0.05770481760978408
ct_equipment_closeup,-2.4533929441676907,1.8550418261315633,-1.322553976739116,0.18601404478150815,-2.4013989584916073,1.301443175593914,-1.8451815672979561,0.06504072882878602,-3.9449713189147557,1.8055794091789958,-2.1848783270676253,0.028920940252032006
ct_hands_on_demonstration,6.19399373204695,1.841160529946568,3.3641790768927162,0.0007706072614864378,-2.86071140304401,1.291704463542319,-2.2146795058669295,0.026804567231358038,3.7278195477346343,1.7920682407453385,2.0801772292913343,0.037534725866880204
ct_other,-13.663234290437394,4.263515480730928,-3.204687388186755,0.0013563446901009033,-3.450425741369724,2.991157961115829,-1.1535418009427254,0.24871568720069195,-13.249114586099637,4.149834065346667,-3.192685388733209,0.0014139363499498056
ct_presenter_talking,-0.9303359576023854,1.7053106287999804,-0.5455521955299479,0.5853859814464744,0.7970303952111093,1.196396139890648,0.6661927171412964,0.50530332130169,-0.4597895769645547,1.6598406107296884,-0.277008270548595,0.7817794908218547
ct_screen_or_software,-13.200826265563245,1.6949159986520754,-7.788484075943312,7.456048823495875e-15,-8.599949121351312,1.1891035709155189,-7.232296102458096,5.097711823831456e-13,-16.12321135165269,1.6497231406561284,-9.773283137217897,1.848649538199158e-22
hands_visible,3.637899116441025,1.094348877395968,3.324259010615976,0.0008897309495109632,-2.7015219795248546,0.7677632159787399,-3.5186916008745883,0.0004356105872964263,2.7052855267884364,1.0651694056973635,2.5397702114972907,0.011107564226072347
narration,3.1235698739782056,1.7188218959992914,1.8172737275738622,0.06920517737590245,1.502617002982191,1.2058752504112114,1.246079975909439,0.21276427608905696,3.807896791722212,1.6729916165470964,2.2761003426791624,0.022861088047772957
instructional_density,0.658292945003872,0.40719490566834543,1.6166531944288185,0.10598475897764534,0.7892745127477518,0.2856760551991409,2.7628304801309276,0.005740742420094407,0.8387894063884924,0.39633755252330605,2.116351077631405,0.0343396397616188
sg_verbally_embodied,5.968200381543636,0.9577517522779474,6.231469028742237,4.807389756136033e-10,1.7902141263840772,0.6719306618086174,2.664284022350471,0.007727637136612312,6.592997383352775,0.9322144755217605,7.072403997655876,1.624862191894896e-12
sg_visually_embodied,16.38322455544914,1.7857996571355392,9.174167152505888,5.451444667292049e-20,-10.925643251037375,1.2528648917871719,-8.720527905808177,3.2103553138997002e-18,13.158051171341866,1.73818349776344,7.57000120428748,4.0623542668615463e-14
R2,0.04974986182569119,,,,0.03819511049456337,,,,0.04239805496439242,,,
F,40.204221430667936,,,,30.49569314363131,,,,33.99997774920902,,,
p,1.265452461710009e-100,,,,4.725705839848349e-75,,,,2.6848835412889296e-84,,,
N,9997.0,,,,9997.0,,,,9997.0,,,
