content_type,n,vis_corr_pct,vis_avg_score,tr_corr_pct,tr_avg_score,union_pct,union_score,both_pct
hands_on_demonstration,2189,74.87437185929649,58.9060127477213,19.18684330744632,10.699021079423089,78.52900867976244,61.467250755944214,15.532206486980357
diagram_or_whiteboard,1882,63.70882040382572,47.98066841943038,34.4845908607864,19.21658523906133,71.30712008501594,53.77202432707215,26.88629117959617
animation_or_graphic,385,55.32467532467532,46.426943835385394,26.49350649350649,18.14828245347726,61.038961038961034,51.15047787710126,20.77922077922078
equipment_closeup,1033,60.50338818973863,44.843809062831326,24.68538238141336,13.686142785900774,66.89254598257503,49.21773613608076,18.29622458857696
presenter_talking,1545,53.915857605178,44.02093220695163,27.96116504854369,19.129448717409883,63.23624595469256,51.03337704366831,18.640776699029125
slide_or_powerpoint,1265,56.047430830039524,43.13634139246788,33.51778656126482,20.119265780332977,65.45454545454545,50.23828345567477,24.110671936758894
device_in_operation,447,44.29530201342282,36.54957387876851,27.740492170022375,18.183146905294556,54.36241610738255,43.79856716735912,17.67337807606264
screen_or_software,1144,47.81468531468531,32.6951486013986,22.98951048951049,11.300167635394907,54.45804195804196,36.8265225304998,16.346153846153847
other,107,41.1214953271028,29.366296476109557,19.626168224299064,11.948102520532428,49.532710280373834,35.46761338350123,11.214953271028037
