video_id,subgroup,mean_visual_avg_score,mean_visual_pct_correlated,total_segments,pct_hands_on
raTtiqWOFW8,visually_embodied,45.98,50.98,51,35.29
re-dSV_a0tM,verbally_embodied,19.81,22.6,146,0.0
rw3I118gQa8,visually_embodied,65.62,71.67,60,81.67
s0dNRe0XWJ8,verbally_embodied,19.46,20.59,102,0.0
sF0KOVWj9p8,verbally_embodied,22.33,24.66,73,20.55
sHwSIcIdeDI,visually_embodied,67.9,74.0,50,74.0
sI5Ftm1-jik,verbally_embodied,57.65,62.96,27,33.33
sL0LtyfNYkM,conventional,67.91,72.45,98,0.0
t1Q9_PlN4GU,conventional,85.45,90.91,22,0.0
t4LPzGIr41c,verbally_embodied,54.24,58.82,68,48.53
tFVAaUcOm4I,conventional,19.71,20.3,133,0.0
taSlxgvvrBM,conventional,85.43,90.0,30,0.0
u40kX1DYKdA,verbally_embodied,59.92,65.31,49,16.33
uwDajwnP2XE,conventional,85.51,91.84,49,12.24
w49SSxiPK_Q,visually_embodied,73.12,79.17,24,79.17
wKyt5ssrDQ8,conventional,20.96,23.08,26,0.0
wmTlM5s2xTY,verbally_embodied,60.5,66.67,90,36.67
yPwYNUDkkZs,verbally_embodied,57.54,63.33,120,16.67
yctzuuGAm-E,conventional,38.29,41.8,244,15.98
z58RORCUTao,verbally_embodied,14.52,16.13,62,30.65
zUyj7Xn9-sk,conventional,69.58,75.0,24,0.0
zZE4AejgDOA,visually_embodied,76.72,83.61,61,85.25
zt7YAna-Qcc,conventional,51.38,56.25,96,1.04
