subgroup,content_type,n_segments,visual_corr_pct,visual_avg_score,transcript_corr_pct,transcript_avg_score
visually_embodied,hands_on_demonstration,802,67.76,61.64,1.7,1.5
visually_embodied,equipment_closeup,187,64.46,58.83,4.3,3.54
visually_embodied,slide_or_powerpoint,17,61.76,55.88,0.0,0.0
visually_embodied,diagram_or_whiteboard,4,75.0,71.25,25.0,25.0
visually_embodied,screen_or_software,38,77.91,72.63,11.84,10.66
visually_embodied,animation_or_graphic,15,68.33,62.88,6.67,6.13
visually_embodied,device_in_operation,62,63.71,58.29,3.23,2.85
visually_embodied,other,20,51.31,47.81,7.5,6.5
