subset,n,visual_r,visual_p,transcript_r,transcript_p,union_r,union_p
overall,128,0.3334,0.00012005160959438832,-0.3533,4.3102911299544075e-05,0.2524,0.00404694830725889
conventional,55,-0.034,0.8052148488420918,-0.2065,0.13031545045677398,-0.084,0.5419383590484315
verbally_embodied,48,0.5263,0.00012176998771304592,0.0572,0.6994239698796116,0.5084,0.00022495439482524677
visually_embodied,25,0.0413,0.8445908856827438,-0.3651,0.07271207008350794,0.0239,0.9098574087394793
