video_id,subgroup,mean_visual_score,mean_transcript_score,mean_union_score,mean_visual_pct,mean_transcript_pct,total_segments,pct_hands_on
sHwSIcIdeDI,visually_embodied,67.9,3.7,71.6,74.0,4.0,50,74.0
sI5Ftm1-jik,verbally_embodied,57.6543,23.8765,62.963,62.963,27.1605,27,33.3333
sL0LtyfNYkM,conventional,67.9082,20.0102,73.1224,72.449,24.4898,98,0.0
t1Q9_PlN4GU,conventional,85.4545,45.9091,89.8636,90.9091,54.5455,22,0.0
t4LPzGIr41c,verbally_embodied,54.2353,2.5294,54.2353,58.8235,2.9412,68,48.5294
tFVAaUcOm4I,conventional,19.7068,3.1053,21.3459,20.3008,3.0075,133,0.0
taSlxgvvrBM,conventional,85.4333,9.7333,85.4333,90.0,16.6667,30,0.0
u40kX1DYKdA,verbally_embodied,59.9184,20.3673,65.4898,65.3061,24.4898,49,16.3265
uwDajwnP2XE,conventional,85.5102,11.1633,85.7551,91.8367,12.2449,49,12.2449
w49SSxiPK_Q,visually_embodied,73.125,0.0,73.125,79.1667,0.0,24,79.1667
wKyt5ssrDQ8,conventional,20.9615,7.6923,28.6538,23.0769,7.6923,26,0.0
wmTlM5s2xTY,verbally_embodied,60.5,5.1111,61.3889,66.6667,5.5556,90,36.6667
yPwYNUDkkZs,verbally_embodied,57.5417,23.2458,62.0917,63.3333,26.25,120,16.6667
yctzuuGAm-E,conventional,38.291,0.3279,38.291,41.8033,0.0,244,15.9836
z58RORCUTao,verbally_embodied,14.5161,27.9355,38.2581,16.129,30.6452,62,30.6452
zUyj7Xn9-sk,conventional,69.5833,3.9583,69.5833,75.0,4.1667,24,0.0
zZE4AejgDOA,visually_embodied,76.7213,1.4754,76.8852,83.6066,1.6393,61,85.2459
zt7YAna-Qcc,conventional,51.3802,16.349,52.6927,56.25,18.75,96,1.0417
