subgroup,content_type,n_segments,visual_corr_pct,visual_avg_score,transcript_corr_pct,transcript_avg_score
verbally_embodied,hands_on_demonstration,1075,67.12,62.31,20.13,17.29
verbally_embodied,equipment_closeup,442,50.99,46.91,22.96,20.07
verbally_embodied,presenter_talking,514,48.75,45.24,22.72,20.19
verbally_embodied,slide_or_powerpoint,390,49.94,45.73,18.23,15.94
verbally_embodied,diagram_or_whiteboard,437,53.2,48.66,24.59,20.89
verbally_embodied,screen_or_software,701,37.13,34.19,12.89,11.17
verbally_embodied,animation_or_graphic,97,34.5,32.12,12.79,10.59
verbally_embodied,device_in_operation,275,37.85,35.43,24.61,21.81
verbally_embodied,other,52,20.6,19.26,18.09,16.18
