subgroup,temporal_bin,n,vis_score,tr_score,vis_pct,tr_pct,union_pct,both_pct
conventional,early,1594,46.58779609140337,22.582779171894604,62.35884567126725,37.13927227101631,71.76913425345045,27.728983688833125
conventional,middle,1638,41.40342527842528,15.421866096866095,56.227106227106226,26.862026862026863,63.003663003663,20.085470085470085
conventional,late,1637,38.473875900112915,15.356996353270025,51.252290775809406,27.428222357971897,59.315821624923636,19.364691508857668
verbally_embodied,early,1296,47.43675962669018,21.277335023515576,59.02777777777778,34.876543209876544,68.59567901234568,25.308641975308642
verbally_embodied,middle,1345,48.286263055408035,16.620925827580102,61.11524163568773,27.95539033457249,67.58364312267659,21.486988847583643
verbally_embodied,late,1342,45.80927897239373,14.122945497125825,57.153502235469446,24.06855439642325,64.08345752608048,17.138599105812222
visually_embodied,early,362,58.34490923441199,2.083464877663773,77.34806629834254,4.143646408839778,78.1767955801105,3.314917127071823
visually_embodied,middle,396,65.37938912938912,2.3854617604617605,83.08080808080808,5.555555555555555,83.58585858585859,5.05050505050505
visually_embodied,late,387,59.26128952873138,2.7659653008490217,74.93540051679587,5.426356589147287,75.45219638242894,4.909560723514212
