Label,CorrMean,CorrSEM,WordMean,WordSEM,TopicMean,TopicSEM,CommMean,CommSEM,DurMean,DurSEM,DensMean,DensSEM,TopDensMean,TopDensSEM,EngMean,EngSEM,EffMean,EffSEM
Conv,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Emb,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
