Label,CorrMean,CorrSEM,WordMean,WordSEM,TopicMean,TopicSEM,CommMean,CommSEM,DurMean,DurSEM,DensMean,DensSEM,TopDensMean,TopDensSEM,EngMean,EngSEM,EffMean,EffSEM
Conv,51.7498,3.6918,2636.8750,354.6209,4.3750,0.3434,1.7857,0.2454,963.9678,119.0904,159.9367,4.3504,0.4159,0.0492,0.1715,0.0295,0.4709,0.0519
Emb,37.7158,3.5042,1530.8378,179.7932,3.7027,0.2954,1.6892,0.1731,695.9578,49.0129,111.5617,9.2031,0.3539,0.0330,0.2044,0.0359,0.3221,0.0406
