Label,CorrMean,CorrSEM,WordMean,WordSEM,CommMean,CommSEM,DurMean,DurSEM,DensMean,DensSEM,EngMean,EngSEM,EffMean,EffSEM
Conv,53.5132,2.8044,73842.8571,10723.3676,1.9107,0.2339,963.9678,119.0904,77.6510,3.9823,0.0031,0.0005,0.5522,0.0379
Emb,57.3099,2.2965,54510.3514,5055.6949,2.0676,0.1777,695.9578,49.0129,73.9653,3.0895,0.0045,0.0007,0.6158,0.0316
