video_id,duration_seconds,total_comments,unique_correlated,pct_correlated,engagement,top_topic_id,top_topic_count,top_topic_avg_score,top_topic_pct
GrvvkYTW_0k,465.81551,1324,53,0.04003021148036254,170.53961985937306,T1,51,80.7843137254902,0.03851963746223565
hpeKrMG-WP0,851.661497,159,0,0.0,11.201633552303234,None,0,0.0,0.0
IiilGiJZDsI,656.822857,29,7,0.2413793103448276,2.6491160918902064,T5,6,80.0,0.20689655172413793
iKZ05QIN8mc,2147.961905,120,33,0.275,3.352014755587576,T1,17,80.88235294117646,0.14166666666666666
ILeLo1lWjBk,1071.368707,202,47,0.23267326732673269,11.312632075971209,T7,27,79.62962962962963,0.13366336633663367
jhvXWpRmhvM,359.328798,1220,115,0.0942622950819672,203.71314630896907,T3,83,81.56626506024097,0.0680327868852459
KKjHZpNMeik,508.981406,286,49,0.17132867132867133,33.71439466690459,T2,40,80.625,0.13986013986013987
L0QraSYq8tw,372.912472,144,35,0.24305555555555555,23.16897569465041,T1,31,80.96774193548387,0.2152777777777778
lAVYDUeqdW4,313.399728,8,3,0.375,1.5315903528799488,T3,3,83.33333333333333,0.375
lBC1nEq0_nk,967.366531,253,0,0.0,15.692087242575894,None,0,0.0,0.0
lBGE5lwbruE,789.849977,120,55,0.4583333333333333,9.115655136620964,T1,46,80.54347826086956,0.38333333333333336
MEHVDGUP2Co,210.233469,52,5,0.09615384615384616,14.840643665543091,T1,4,76.25,0.07692307692307693
n3TeLpbw_jk,1304.288073,237,123,0.5189873417721519,10.902499451131607,T3,115,80.30434782608695,0.48523206751054854
nxKkM4bXPFI,483.857415,516,152,0.29457364341085274,63.98579217805311,T5,98,80.3061224489796,0.18992248062015504
OBM5T5_kgdI,512.580499,440,97,0.22045454545454546,51.5041053093204,T1,97,80.4639175257732,0.22045454545454546
PlKeFj5teo4,437.6,81,20,0.24691358024691357,11.106032906764167,T7,14,80.0,0.1728395061728395
PS_p3O9q4YI,1259.868299,61,20,0.32786885245901637,2.9050655555862988,T1,14,80.35714285714286,0.22950819672131148
RiRyzLl4Y8U,1138.776236,0,0,0.0,0.0,None,0,0.0,0.0
Sd6CcsCgFbg,2315.8,0,0,0.0,0.0,None,0,0.0,0.0
sL0LtyfNYkM,961.445442,41,4,0.0975609756097561,2.5586475243802758,T3,4,82.5,0.0975609756097561
t1Q9_PlN4GU,198.902132,0,0,0.0,0.0,None,0,0.0,0.0
taSlxgvvrBM,267.818957,0,0,0.0,0.0,None,0,0.0,0.0
tFVAaUcOm4I,1338.467846,180,24,0.13333333333333333,8.068927492188706,T5,19,80.78947368421052,0.10555555555555556
UrCFv2qCELI,745.337324,886,81,0.09142212189616253,71.32341060649742,T2,55,79.63636363636364,0.062076749435665914
URj7TorDHmQ,669.175873,7,3,0.42857142857142855,0.627637691294946,T3,3,80.0,0.42857142857142855
uwDajwnP2XE,478.377506,40,0,0.0,5.016958301546896,None,0,0.0,0.0
wEevt2a4SKI,5766.1934,308,43,0.1396103896103896,3.2048873005196117,T6,31,81.45161290322581,0.10064935064935066
wKyt5ssrDQ8,258.716735,3,0,0.0,0.6957416187244322,None,0,0.0,0.0
WoxDbIbpP_Q,2109.57932,380,104,0.2736842105263158,10.80784201088964,T3,70,80.42857142857143,0.18421052631578946
XRsJRqipSx8,1082.839365,17,6,0.35294117647058826,0.9419679713989711,T5,6,81.66666666666667,0.35294117647058826
yctzuuGAm-E,2431.82585,131,6,0.04580152671755725,3.232139340898938,T1,5,80.0,0.03816793893129771
zt7YAna-Qcc,938.968526,46,18,0.391304347826087,2.939395649135954,T4,13,78.46153846153847,0.2826086956521739
zUyj7Xn9-sk,230.040091,16,1,0.0625,4.1731856209359615,T1,1,80.0,0.0625
_VzHpLjKeZ8,2957.363084,105,26,0.24761904761904763,2.13027613487313,T6,22,81.13636363636364,0.20952380952380953
