Label,PctCorrMean,PctCorrSEM,EngMean,EngSEM,TopTopicPctMean,TopTopicPctSEM,TopTopicScoreMean,TopTopicScoreSEM
Conventional,0.2439,0.0188,24.5118,6.8561,0.1981,0.0166,78.9402,1.7255
Embodied,0.1855,0.0217,25.8102,4.2385,0.1492,0.0200,74.7745,2.7161
